Batch ID,Test Date,Material ,Supplier,Heat Treatment,Sample Thickness (mm),Hardness (HRC),Tensile Strength (MPa),Yield Strength (MPa),Elongation (%),Carbon Equiv (%),Test Temp (C),Cycles to Failure,Defect Count,Operator,Test Machine,Pass/Fail,Notes
B2024-01081,04/11/2024,Titanium Ti-6Al-4V,Supplier A,As-Received,14.86,34.1,941.8,764.4,6.2,0.345,22.8,,0.0,J. Kim,UTM-3,Pass,
B2023-00754,2023-01-05,Aluminum 6061,Supplier C,Quenched & Tempered,7.14,14.1,377.1,305.4,17.3,0.517,22.6,39272.0,2.0,M. Chen,UTM-3,Pass,"Cold room, verify temp log"
B2023-01053,26-Apr-2023,stainless 304,SUPPLIER A ,Quenched & Tempered,11.0,21.5,679.2,596.4,42.3,0.453,16.6,101336.0,0.0,A. Silva,UTM-3,Pass,
B2024-00078,19-Jul-2024,Steel-4140,Supplier D,As-Received,24.73,30.5,970.4,787.9,18.6,0.365,15.8,,0.0,T. Nguyen,HT-4,Pass,
B2024-00958,2024-05-07,Titanium Ti-6Al-4V,Supplier C,Quenched & Tempered,13.72,33.6,999.8,822.8,13.2,0.362,24.8,38727.0,1.0,R. Patel,UTM-1,Pass,
B2023-00129,29-Nov-2023,Titanium Ti-6Al-4V,Supplier B,Quenched & Tempered,10.58,36.3 HRC,871.4,750.4,9.2,0.319,21.8,,5.0,M. Chen,UTM-2,Fail,
B2022-01212,03-Mar-2022,Stainless 304,Supplier C,Normalized,13.33,18.5,578.2,457.1,43.4,0.327,26.7,,0.0,A. Silva,UTM-3,Pass,
B2023-00111,2023-10-02,Titanium Ti-6Al-4V,Supplier A,Quenched & Tempered,12.36,36.4,1098.5,952.8,4.7,0.458,22.7,,2.0,M. Chen,UTM-1,Pass,
B2022-00913,08-May-2022,Copper C110,Supplier D,Quenched & Tempered,4.64,8.9,247.1,204.8,37.3,0.354,23.3,,0.0,J. Kim,UTM-1,Pass,
B2022-01383,2022-12-31,Titanium Ti-6Al-4V,Supplier C,Normalized,9.69,35.2,968.6,790.1,7.0,0.324,20.0,,0.0,R. Patel,UTM-1,Pass,
B2024-00097,2024-01-17,Stainless 304,Supplier B,As-Received,13.62,17.8,404.6,343.7,48.2,0.293,19.2,,0.0,A. Silva,UTM-2,Fail,
B2023-00355,2023-01-23,Aluminum 6061,Supplier B,Normalized,,14.3,267.7,210.6,11.5,0.313,22.4,26357.0,1.0,M. Chen,UTM-2,Pass,
B2023-00501,04/01/2023,Copper C110,Supplier B,Normalized,6.85,9.3,186.9,171.7,,0.379,22.2,,0.0,J. Kim,UTM-2,Fail,
B2022-01056,2022-07-06,Stainless 304,Supplier A,Quenched & Tempered,11.81,25.8,556.0,449.8,47.2,0.165,153.0,,1.0,T. Nguyen,UTM-2,Fail,
B2023-00846,02/17/2023,Steel 4140,Supplier C,As-Received,14.66,33.4,941.7,718.2,17.6,0.259,22.5,33434.0,2.0,T. Nguyen,UTM-3,Pass,
B2022-00167,15-Jan-2022,Copper C110,Supplier A,Annealed,8.58,9.9,222.6,198.6,36.7,0.421,22.8,,0.0,A. Silva,HT-4,Pass,
B2023-00442,2023-09-10,Copper C110,Supplier D,Quenched & Tempered,1.09,7.4,214.1,198.7,36.8,0.303,27.5,55814.0,0.0,J. Kim,UTM-2,Pass,
B2023-00748,2023-01-13,Copper C110,Supplier A,Quenched & Tempered,9.29,10.7,272.2,223.1,35.8,0.423,25.1,,0.0,T. Nguyen,UTM-1,Fail,
B2024-01387,18-Feb-2024,Steel 4140,Supplier D,Quenched & Tempered,13.37,30.4,1007.9,855.5,16.5,0.498,15.8,72418.0,0.0,R. Patel,HT-4,Pass,
B2022-01397,24-Dec-2022,Titanium Ti-6Al-4V,Supplier A,As-Received,5.23,34.8,906.5,761.2,10.7,0.194,27.1,8186.0,2.0,J. Kim,UTM-1,Fail,
B2022-00876,04-Jul-2022,Steel-4140,Supplier B,Normalized,17.33,32.5,577.5,485.1,22.3,0.295,148.6,,2.0,A. Silva,UTM-3,Fail,
B2022-01110,12/18/2022,Steel 4140,Supplier B,As-Received,19.15,34.0HRC,787.7,725.1,19.1,0.344,,,4.0,A. Silva,UTM-2,Fail,
B2022-01273,19-Apr-2022,aluminum 6061,Supplier D,Annealed,14.6,16.4,318.1,263.1,14.4,0.365,23.3,,2.0,R. Patel,UTM-2,Pass,
B2023-00503,2023-09-08,Stainless 304,Supplier B,Quenched & Tempered,5.56,20.9,507.3,,46.2,0.275,27.4,,3.0,T. Nguyen,HT-4,Fail,
B2023-00760,23-Dec-2023,Stainless 304,Supplier B,Annealed,11.92,19.0,399.8,,46.2,0.49,19.5,9498.0,1.0,R. Patel,HT-4,Fail,
B2024-00456,2024-06-26,Copper C110,Supplier A,Quenched & Tempered,8.14,7.4,241.5,196.7,33.7,0.402,22.4,49213.0,0.0,M. Chen,HT-4,Pass,
B2023-00223,2023-06-27,Steel 4140,Supplier D,Normalized,19.78,32.0,963.7,839.8,18.3,0.141,,,,J. Kim,UTM-2,Pass,
B2022-00490,08/15/2022,Aluminum 6061,Supplier C,As-Received,12.55,16.8,322.7,251.5,17.4,0.175,23.1,,1.0,J. Kim,HT-4,Pass,
B2022-01252,29-Dec-2022,STAINLESS 304,Supplier A,Annealed,6.58,20.1,576.6,497.0,44.1,0.389,29.7,,,M. Chen,UTM-1,Fail,
B2022-00775,31-Mar-2022,Copper C110,Supplier A,Annealed,2.72,7.3,208.6,,36.5,0.436,20.8,25065.0,2.0,A. Silva,UTM-3,Pass,
B2022-01233,01/22/2022,Steel 4140,Supplier B,As-Received,10.16,36.6,695.1,537.6,26.6,0.381,142.9,,5.0,T. Nguyen,UTM-1,Fail,
B2022-00134,2022-03-05,Aluminum 6061,Supplier A,Normalized,3.33,14.0,333.3,246.9,13.7,0.35,23.0,,0.0,M. Chen,UTM-1,Pass,
B2024-00346,03/07/2024,Copper C110,Supplier C,Annealed,2.58,8.9,209.2,,36.1,0.333,19.5,19685.0,1.0,M. Chen,UTM-3,Fail,
B2024-01148,05/13/2024,Stainless 304,Supplier C,Normalized,7.61,20.7 HRC,549.3,453.0,46.5,0.143,22.8,5465.0,,J. Kim,UTM-2,Fail,
B2023-00533,03/18/2023,Copper C110,Supplier A,As-Received,4.42,9.2,214.4,181.0,35.8,0.333,22.1,,2.0,T. Nguyen,UTM-3,Pass,
B2024-00586,06/06/2024, Steel4140,Supplier A,Normalized,21.61,28.9,958.0,752.1,15.8,0.286,24.7,,0.0,A. Silva,UTM-1,Pass,
B2022-00589,09-Dec-2022,Titanium Ti-6Al-4V, Supplier D,Quenched & Tempered,4.84,34.3 HRC,1023.5,781.8,7.5,0.413,20.4,32855.0,0.0,A. Silva,UTM-3,Pass,Grain flow irregular near edge
B2024-01099,04/12/2024,Stainless 304,Supplier B,Quenched & Tempered,12.06,20.1,509.7,416.3,46.7,0.357,22.6,18807.0,1.0,M. Chen,HT-4,Fail,
B2023-00664,20-Apr-2023,Stainless 304,Supplier C,Annealed,16.59,24.9,607.6,486.0,45.2,0.42,23.5,4367.0,3.0,M. Chen,UTM-2,Pass,
B2022-00706,2022-07-04,STEEL 4140 ,Supplier A,As-Received,13.38,33.5,988.5,777.7,16.6,0.348,18.9,,2.0,R. Patel,HT-4,Pass,
B2023-00725,28-Dec-2023,Copper C110,Supplier A,Annealed,4.13,12.3,233.0,194.7,30.8,0.312,25.0,29614.0,0.0,A. Silva,UTM-1,Pass,
B2022-00817,2022-06-22,Steel 4140,Supplier C,Normalized,20.56,35.0,1033.8,911.1,18.5,0.383,23.4,,0.0,R. Patel,UTM-1,Pass,
B2024-00592,15-Feb-2024,Stainless 304,Supplier C,Annealed,14.18,19.7,532.6,443.4,45.7,0.178,25.0,,1.0,R. Patel,UTM-3,Fail,
B2022-00358,2022-01-23,Stainless 304,Supplier D,Quenched & Tempered,7.43,18.3,640.8,502.2,45.9,0.403,22.2,79471.0,0.0,J. Kim,UTM-2,Pass,Sample slipped in grips - discard?
B2023-01319,16-Jul-2023,Aluminum 6061,Supplier B,As-Received,12.46,13.5,256.7,205.0,13.4,0.392,20.2,,1.0,R. Patel,UTM-2,Fail,
B2024-00345,04/26/2024,Aluminum 6061,Supplier B,Normalized,,14.9,261.6,227.6,13.2,0.264,15.3,,5.0,M. Chen,HT-4,Fail,
B2023-00333,2023-07-16,Stainless 304,Supplier A,As-Received,6.7,21.8,649.7,521.2,43.8,0.329,24.8,,1.0,A. Silva,UTM-3,Pass,
B2023-00510,11/30/2023,Titanium Ti-6Al-4V,Supplier D,Quenched & Tempered,3.25,37.9 hrc,1091.9,867.1,9.2,0.313,24.3,,1.0,J. Kim,UTM-3,Pass,
B2023-00368,2023-03-06,Stainless 304,Supplier B,As-Received,8.04,17.5,434.6,336.4,50.2,0.27,24.0,3891.0,4.0,J. Kim,UTM-1,Fail,
B2023-01305,04/08/2023,Copper C110,Supplier B,Normalized,9.27,9.9,189.2,161.9,35.7,0.441,,,,T. Nguyen,UTM-2,Fail,"Cold room, verify temp log"
B2023-01290,04/15/2023,Steel 4140,Supplier C,Normalized,23.24,32.4 HRC,1005.9,769.0,17.9,0.454,16.3,25443.0,0.0,A. Silva,UTM-3,Pass,
B2022-01285,07/22/2022,Stainless 304,Supplier B,Quenched & Tempered,16.1,22.0,568.0,518.9,46.1,0.371,21.1,,3.0,T. Nguyen,HT-4,Pass,Grain flow irregular near edge
B2023-01322,27-Aug-2023,Copper C110,Supplier C,Normalized,8.73,11.2 HRC,245.6,215.0,38.9,0.288,24.5,42533.0,,M. Chen,UTM-3,Pass,
B2022-00298,22-Nov-2022, CopperC110,Supplier C,Annealed,,10.8 hrc,231.6,173.0,40.8,0.35,15.8,16571.0,3.0,A. Silva,HT-4,Pass,
B2023-01063,2023-02-10,Copper C110,Supplier D,Quenched & Tempered,4.94,9.3,231.2,202.9,37.9,0.357,21.8,,,R. Patel,UTM-1,Pass,
B2022-00148,10-Dec-2022,Titanium Ti-6Al-4V,Supplier C,Normalized,7.19,32.7,867.9,753.5,12.6,0.297,15.8,,1.0,M. Chen,UTM-1,Fail,
B2022-01136,28-Sep-2022,STAINLESS 304,supplier d,Normalized,8.27,24.8,624.7,513.0,42.5,0.385,18.8,70103.0,0.0,J. Kim,HT-4,Pass,
B2023-00535,16-Oct-2023,Steel-4140,Supplier C,As-Received,24.19,30.5,962.6,802.9,13.3,0.258,22.0,,2.0,T. Nguyen,HT-4,Pass,
B2023-01141,15-Oct-2023,Stainless 304,Supplier C,Quenched & Tempered,17.68,18.5,598.2,479.8,45.1,0.303,14.1,19383.0,4.0,T. Nguyen,HT-4,Pass,
B2023-00558,08-Dec-2023,Stainless 304,Supplier B,Normalized,13.49,19.6HRC,472.0,390.2,47.7,0.36,20.6,,3.0,T. Nguyen,UTM-2,Fail,
B2024-00635,2024-05-28,Copper-C110, Supplier A,As-Received,4.26,10.6,273.1,231.0,34.4,0.529,17.2,20365.0,2.0,R. Patel,UTM-1,Pass,
B2022-01384,11-Feb-2022,Aluminum 6061,Supplier B,As-Received,5.98,14.7,260.2,216.6,14.2,0.425,20.0,,1.0,A. Silva,UTM-1,Fail,
B2023-01153,2023-12-27,Steel 4140,Supplier B,Normalized,17.49,26.8 HRC,674.3,572.1,24.0,0.42,,,2.0,T. Nguyen,UTM-3,Fail,
B2023-00750,04/09/2023,Stainless 304,Supplier A,Quenched & Tempered,3.3,18.2 HRC,652.2,520.7,45.1,0.479,23.0,,0.0,A. Silva,UTM-2,Pass,
B2023-00334,2023-12-20,Aluminum 6061,Supplier C,Quenched & Tempered,6.24,18.6,378.8,322.4,13.5,0.467,16.1,,1.0,J. Kim,UTM-2,Pass,
B2024-01360,2024-03-21,Aluminum 6061,Supplier A,Normalized,7.99,17.0,360.6,299.8,12.4,0.418,20.7,14697.0,1.0,J. Kim,UTM-2,Pass,
B2023-00281,2023-02-17,Stainless 304,Supplier A,Normalized,9.85,20.9,628.3,485.9,44.5,0.332,21.6,,1.0,T. Nguyen,HT-4,Pass,
B2023-00546,10-Sep-2023,Copper C110,Supplier C,Quenched & Tempered,2.46,10.0,247.4,194.7,35.3,0.277,31.4,7880.0,2.0,A. Silva,HT-4,Pass,
B2022-01133,07-Jan-2022,Stainless 304,Supplier C,Annealed,10.54,23.6,572.8,450.8,43.8,0.215,23.5,,0.0,J. Kim,UTM-1,Pass,"Cold room, verify temp log"
B2023-01229,11/11/2023,Copper C110,Supplier B,Normalized,4.86,10.4 hrc,214.3,179.5,32.8,0.416,,5489.0,4.0,M. Chen,UTM-1,Fail,
B2024-00707,06/20/2024,Titanium Ti-6Al-4V,Supplier B,Annealed,18.03,38.4,788.8,705.4,12.3,0.435,17.9,,2.0,M. Chen,HT-4,Fail,
B2022-00687,2022-01-10,Aluminum 6061,Supplier A,Quenched & Tempered,6.39,16.0,365.4,305.2,10.8,0.338,22.1,,2.0,M. Chen,UTM-3,Pass,
B2024-00229,2024-08-02,Stainless 304,Supplier B,As-Received,10.37,23.8,514.7,436.8,47.1,0.475,19.0,,4.0,A. Silva,UTM-2,Fail,
B2022-01209,11/20/2022,Aluminum 6061,supplier d,Annealed,14.77,15.2 hrc,310.3,258.3,11.4,0.373,23.8,,0.0,R. Patel,HT-4,Pass,
B2022-00241,2022-04-07,Steel 4140,Supplier C,Quenched & Tempered,11.64,31.9,1097.4,885.5,15.4,0.267,24.4,,2.0,M. Chen,UTM-1,Pass,
B2023-00930,07/07/2023,Aluminum 6061,Supplier B,As-Received,11.69,14.8,256.5,202.8,14.2,0.415,22.6,,2.0,R. Patel,UTM-1,Pass,
B2023-00894,2023-01-06,Copper C110,Supplier C,Normalized,3.15,9.4HRC,255.1,192.4,34.7,0.501,23.8,,0.0,T. Nguyen,HT-4,Pass,
B2022-00398,29-Oct-2022,Steel 4140,Supplier A,Annealed,14.62,29.1,914.8,814.6,20.8,0.303,28.0,,1.0,M. Chen,HT-4,Fail,
B2023-00621,2023-03-16,Titanium Ti-6Al-4V,Supplier D,Quenched & Tempered,8.93,37.1 hrc,1064.4,856.8,5.7,0.26,20.9,,0.0,A. Silva,UTM-2,Pass,
B2022-00060,2022-03-04,Aluminum 6061,Supplier C,As-Received,10.44,11.4,310.5,245.1,14.3,0.508,18.7,,0.0,A. Silva,UTM-1,Pass,
B2024-00575,2024-01-29,Copper C110,Supplier A,As-Received,5.36,10.4,231.6,193.6,35.1,0.391,17.8,,1.0,R. Patel,UTM-3,Pass,
B2024-00667,2024-02-23,Copper C110,Supplier A,Normalized,2.73,10.0,256.4,218.5,36.5,0.437,24.6,106159.0,0.0,R. Patel,UTM-3,Pass,
B2022-00197,2022-02-12,Steel 4140,Supplier C,Quenched & Tempered,,31.3,1013.6,889.9,16.7,0.363,17.5,,1.0,T. Nguyen,UTM-1,Pass,
B2023-01335,06-Oct-2023,COPPER C110 ,Supplier C,Annealed,8.04,10.0,188.1,,32.7,0.475,148.0,,1.0,T. Nguyen,UTM-3,Fail,Surface porosity observed
B2023-01368,03/30/2023,Aluminum 6061,Supplier C,Annealed,6.6,12.6,295.7,221.1,,0.285,23.6,,3.0,R. Patel,UTM-2,Pass,
B2022-00829,16-Nov-2022,aluminum 6061,Supplier C,Normalized,10.82,13.5,341.9,283.3,13.2,0.439,31.3,,1.0,J. Kim,UTM-3,Fail,
B2022-00821,01/22/2022,Steel 4140,Supplier D,Annealed,17.7,31.6,982.5,811.9,17.7,0.339,18.6,,3.0,T. Nguyen,UTM-1,Pass,
B2022-01326,11/19/2022,Aluminum 6061,Supplier A,Normalized,7.76,11.9,288.8,238.3,13.4,0.287,,10004.0,3.0,M. Chen,UTM-1,Pass,
B2024-00149,26-Jun-2024,Stainless 304,Supplier B,Quenched & Tempered,10.32,24.5,538.5,419.9,42.8,0.167,21.7,,0.0,R. Patel,UTM-1,Fail,
B2022-00514,20-Aug-2022, Stainless304,Supplier D,As-Received,,21.7,622.9,,47.1,0.322,20.8,,1.0,,HT-4,Pass,
B2022-00928,07/16/2022,Aluminum 6061,Supplier C,As-Received,7.6,15.2HRC,327.0,259.3,10.2,0.378,,,0.0,J. Kim,HT-4,Pass,
B2023-00037,07-Feb-2023,Stainless-304 ,Supplier D,As-Received,7.81,21.6,563.5,456.7,44.6,0.362,,,0.0,A. Silva,UTM-1,Pass,
B2022-00120,08/30/2022,Titanium Ti-6Al-4V,Supplier C,Normalized,14.4,37.3,969.5,,9.6,0.377,23.8,39935.0,0.0,R. Patel,UTM-1,Pass,
B2023-00308,16-Dec-2023,Stainless 304,Supplier D,Normalized,5.35,24.6,674.8,556.3,44.9,0.459,20.1,,1.0,M. Chen,HT-4,Pass,
B2023-01322,2023-08-28,Copper C110,Supplier C,Normalized,7.97,10.5HRC,254.3,191.1,36.4,0.436,23.9,,1.0,T. Nguyen,HT-4,Pass,
B2023-00333,18-Jul-2023,Stainless 304,Supplier A,As-Received,2.17,24.1,607.7,479.3,42.3,0.392,24.1,65339.0,0.0,T. Nguyen,UTM-2,Pass,
B2022-00923,11/30/2022,Copper C110,Supplier A,Quenched & Tempered,9.78,8.3,248.1,192.4,38.2,0.377,21.7,,0.0,M. Chen,HT-4,Pass,
B2023-00929,30-Oct-2023,STEEL 4140 , Supplier B,Quenched & Tempered,17.61,33.2,864.9,746.6,18.5,0.155,17.3,,5.0,R. Patel,HT-4,Fail,
B2024-01236,04/08/2024,Stainless 304,Supplier A,As-Received,15.57,24.4,569.8,449.4,45.2,0.493,138.8,,3.0,A. Silva,UTM-3,Pass,
B2023-00387,09-Dec-2023,Stainless 304,Supplier C,Normalized,14.55,19.9,616.2,469.9,48.4,0.517,23.8,30650.0,1.0,J. Kim,UTM-3,Pass,
B2023-00368,03-Mar-2023,stainless 304,SUPPLIER B ,As-Received,6.54,21.0,426.9,349.3,50.4,0.204,33.8,2127.0,5.0,T. Nguyen,UTM-2,Fail,
B2023-00007,01/27/2023,Copper C110,Supplier A,Normalized,2.98,8.6,228.9,172.1,32.6,0.432,15.3,,1.0,T. Nguyen,HT-4,Fail,
B2022-00211,22-Jul-2022,Steel 4140,Supplier_B,Annealed,14.03,32.1,568.5,456.9,26.0,0.162,144.0,801.0,3.0,M. Chen,UTM-1,Fail,
B2022-00416,12/12/2022,Copper C110,Supplier C,Normalized,8.88,7.8 HRC,191.0,160.4,31.8,0.262,26.5,31117.0,1.0,J. Kim,UTM-3,Fail,
B2024-00254,2024-02-04,Steel 4140,Supplier D,As-Received,7.71,35.3HRC,1019.5,811.6,13.7,0.302,22.9,,0.0,T. Nguyen,UTM-3,Pass,
B2024-01347,02/16/2024,Aluminum 6061,Supplier A,Quenched & Tempered,14.05,14.7HRC,279.4,206.7,13.5,0.28,159.0,4098.0,0.0,M. Chen,UTM-3,Pass,Sample slipped in grips - discard?
B2024-01216,01/27/2024,Copper-C110,Supplier C,Normalized,5.45,8.6HRC,231.7,169.6,35.3,0.464,19.7,,1.0,R. Patel,UTM-3,Pass,
B2023-00639,12/09/2023,Copper C110,Supplier C,As-Received,6.83,8.9 hrc,215.0,160.6,38.5,0.293,22.0,8062.0,3.0,M. Chen,HT-4,Fail,
B2022-00658,2022-10-18,Steel 4140,Supplier A,Quenched & Tempered,12.16,33.2,1111.1,937.8,,0.327,22.0,61033.0,0.0,T. Nguyen,UTM-2,Pass,
B2022-00379,2022-07-31,Copper C110,Supplier B,As-Received,3.23,9.2,149.0,116.8,35.8,0.46,158.4,,4.0,T. Nguyen,UTM-2,Fail,
B2023-00496,12/23/2023,Copper C110,Supplier B,Annealed,8.21,9.6,154.2,125.7,39.1,0.194,24.2,,2.0,T. Nguyen,HT-4,Pass,
B2023-00160,21-Sep-2023,Copper C110,supplier c,Quenched & Tempered,,9.8 hrc,239.2,196.5,33.3,0.257,18.5,,0.0,M. Chen,HT-4,Pass,
B2022-00627,09-Jun-2022,Aluminum 6061,Supplier B,As-Received,9.88,14.4 hrc,248.9,185.6,15.1,0.295,25.1,,1.0,T. Nguyen,HT-4,Fail,
B2022-00359,05/18/2022,Titanium Ti-6Al-4V,Supplier B,Normalized,17.6,36.1,808.8,660.0,,0.304,20.4,,2.0,A. Silva,HT-4,Fail,
B2022-00788,2022-11-25,Copper C110,Supplier D,Annealed,2.92,9.0 hrc,202.0,149.0,35.8,0.287,19.8,,1.0,R. Patel,UTM-1,Pass,
B2022-00984,07/29/2022,Copper C110,Supplier D,As-Received,9.88,9.6,202.7,176.0,32.2,0.346,143.2,,0.0,T. Nguyen,UTM-2,Pass,
B2022-00388,09/06/2022,Steel 4140,Supplier A,Normalized,17.92,30.3,1021.7,793.5,17.8,0.344,26.1,35147.0,1.0,J. Kim,HT-4,Pass,
B2022-00752,2022-05-04,Titanium Ti-6Al-4V,Supplier A,Annealed,15.29,32.9 HRC,925.4,728.2,10.2,0.487,17.1,58119.0,0.0,M. Chen,HT-4,Pass,
B2024-01255,08-Jul-2024,Titanium Ti-6Al-4V,Supplier A,Quenched & Tempered,8.02,38.2,1114.5,917.7,6.0,0.438,24.9,45589.0,2.0,A. Silva,UTM-1,Pass,
B2022-00276,10/25/2022,Steel 4140,Supplier A,Normalized,22.1,28.8,983.0,764.1,21.4,0.347,15.8,33699.0,0.0,R. Patel,UTM-3,Pass,
B2024-01099,2024-04-11,Stainless 304,Supplier B,Quenched & Tempered,8.75,22.0,552.8,419.0,43.6,0.449,26.1,,2.0,M. Chen,UTM-3,Pass,
B2024-00059,2024-01-16,Titanium Ti-6Al-4V,Supplier B,Quenched & Tempered,17.93,36.3 HRC,899.9,735.8,10.3,0.477,22.6,,3.0,A. Silva,HT-4,Pass,
B2023-01089,2023-04-27,Stainless 304,Supplier A,Annealed,9.69,23.8,608.1,515.2,43.5,0.366,21.5,,1.0,T. Nguyen,UTM-1,Pass,
B2022-00435,08/09/2022,Steel 4140,Supplier C,Quenched & Tempered,19.14,30.5,1064.9,840.0,13.9,0.343,24.0,7512.0,2.0,J. Kim,UTM-2,Pass,
B2022-00585,12/20/2022,Steel 4140, Supplier C,Quenched & Tempered,6.5,33.1,1007.8,881.2,18.1,0.291,23.8,35347.0,0.0,A. Silva,HT-4,Pass,
B2023-01165,02/01/2023,Steel 4140,Supplier A,Normalized,18.01,33.0,1004.9,807.2,19.0,0.484,22.9,,2.0,R. Patel,UTM-2,Pass,
B2023-01079,2023-10-14,Stainless 304,Supplier A,As-Received,4.14,20.7,618.3,478.3,45.4,0.362,,,2.0,T. Nguyen,HT-4,Pass,
B2023-01299,29-Jun-2023,Titanium Ti-6Al-4V,supplier c,As-Received,8.82,35.6,997.1,799.6,8.3,0.428,21.7,47007.0,,T. Nguyen,UTM-1,Pass,
B2024-00466,17-Mar-2024,Stainless 304, Supplier C,As-Received,3.8,21.7,610.9,538.8,41.7,0.347,20.1,,1.0,R. Patel,HT-4,Pass,
B2023-00508,12-Oct-2023,Aluminum-6061,Supplier C,Normalized,4.56,12.2,324.9,272.2,9.7,0.466,27.3,,0.0,J. Kim,UTM-1,Pass,
B2023-00596,05/30/2023,Aluminum 6061,Supplier A,Annealed,8.53,14.3,333.9,252.0,12.8,0.379,18.0,51025.0,1.0,T. Nguyen,UTM-2,Pass,Retest requested
B2024-00213,01/25/2024,Copper C110,Supplier A,Normalized,3.83,8.9 hrc,241.8,173.4,32.3,0.411,25.5,,0.0,A. Silva,UTM-1,Pass,
B2022-01088,08/27/2022,Steel 4140,Supplier A,Annealed,12.06,35.9HRC,985.8,800.7,17.5,0.321,22.6,,0.0,T. Nguyen,HT-4,Pass,
B2022-00320,10-May-2022,Aluminum 6061,Supplier A,Normalized,3.34,15.6,330.7,270.8,19.2,0.419,20.6,,1.0,M. Chen,UTM-1,Pass,
B2022-00864,06/17/2022,Titanium Ti-6Al-4V,Supplier C,Annealed,,34.9,903.4,722.6,12.2,0.395,29.4,24202.0,1.0,T. Nguyen,HT-4,Pass,
B2022-00922,2022-01-29,stainless 304,Supplier B,Normalized,,20.7,510.6,414.0,46.2,0.289,18.6,,2.0,T. Nguyen,UTM-2,Fail,
B2022-01051,28-Jun-2022,Copper C110,Supplier C,Quenched & Tempered,4.89,9.5,248.6,197.2,33.8,0.307,21.9,,0.0,T. Nguyen,UTM-2,Pass,
B2023-01249,2023-05-12,Stainless 304,Supplier C,As-Received,13.68,19.3,585.0,470.8,43.3,0.378,19.9,9102.0,1.0,M. Chen,UTM-3,Fail,
B2023-00113,05/20/2023,Titanium Ti-6Al-4V,supplier c,As-Received,19.98,31.6HRC,910.8,680.3,12.8,0.357,27.0,128045.0,0.0,T. Nguyen,UTM-3,Pass,
B2023-00626,2023-08-29,Titanium Ti-6Al-4V,Supplier C,Annealed,8.11,36.9,879.3,701.3,15.4,0.291,28.0,,2.0,A. Silva,UTM-2,Pass,
B2022-00952,2022-03-03,Copper C110,Supplier C,As-Received,3.24,11.1,243.9,191.4,35.3,0.327,17.8,12113.0,3.0,M. Chen,HT-4,Pass,
B2023-00311,16-Jul-2023,Copper C110,Supplier B,Normalized,8.87,7.9,161.3,144.7,32.4,0.32,24.4,8568.0,3.0,M. Chen,UTM-2,Fail,
B2022-01178,26-Feb-2022,Steel 4140,Supplier C,Normalized,24.97,29.1,939.0,760.2,17.3,0.363,26.2,,,J. Kim,UTM-2,Pass,
B2023-00483,2023-06-28,Titanium Ti-6Al-4V,Supplier C,Normalized,10.62,37.0,1001.3,785.3,6.7,0.424,21.3,,3.0,M. Chen,UTM-2,Pass,
B2022-01067,06/02/2022,Aluminum 6061,Supplier D,As-Received,12.93,15.4,333.6,262.7,17.8,0.392,26.8,10775.0,1.0,J. Kim,HT-4,Pass,
B2024-01159,06-Jun-2024,Aluminum 6061,SUPPLIER B ,Normalized,2.42,16.2,290.3,245.7,16.1,0.462,,16351.0,1.0,A. Silva,HT-4,Pass,
B2023-00940,2023-07-24,STAINLESS 304,Supplier D,Normalized,13.78,19.2,619.6,518.3,41.6,0.339,24.4,,2.0,R. Patel,UTM-2,Pass,
B2024-00045,02/27/2024,Stainless 304,Supplier B,As-Received,17.88,19.1,449.6,368.0,49.6,0.318,30.4,,4.0,J. Kim,HT-4,Fail,
B2022-01200,05/08/2022,STAINLESS 304,Supplier A,Quenched & Tempered,7.89,17.6 HRC,482.8,386.3,45.1,0.272,147.7,,0.0,A. Silva,UTM-2,Pass,
B2023-01190,07/25/2023,Titanium Ti-6Al-4V,Supplier C,Quenched & Tempered,18.91,33.0,1015.5,677.7,8.7,0.344,23.0,5011.0,3.0,M. Chen,UTM-1,Pass,
B2024-01395,2024-05-22,Aluminum 6061,Supplier A,As-Received,13.33,13.9 HRC,318.5,277.3,,0.361,20.7,31056.0,2.0,A. Silva,UTM-3,Pass,
B2022-00042,2022-05-10,Titanium Ti-6Al-4V,Supplier B,Quenched & Tempered,,34.2 HRC,820.3,726.0,11.8,0.231,24.4,,1.0,J. Kim,UTM-2,Fail,
B2023-00705,01/11/2023,Steel 4140,Supplier B,Quenched & Tempered,16.14,30.6,871.4,698.6,20.7,0.452,22.0,,1.0,M. Chen,HT-4,Pass,
B2022-00438,2022-08-21,Steel 4140,Supplier A,Annealed,17.95,33.6,1003.3,851.3,12.8,0.294,22.3,,2.0,M. Chen,HT-4,Pass,
B2023-00555,22-Nov-2023,Copper C110,Supplier A,Quenched & Tempered,6.78,9.1HRC,274.9,214.7,34.8,0.438,23.2,,1.0,A. Silva,UTM-2,Pass,
B2024-00149,06/27/2024,Stainless 304,Supplier B,Quenched & Tempered,17.05,23.1,575.5,419.0,44.3,0.258,22.1,8901.0,4.0,A. Silva,HT-4,Pass,
B2023-00494,05/30/2023,Copper C110,Supplier A,Quenched & Tempered,8.44,7.3,247.7,213.3,37.0,0.397,28.6,51504.0,1.0,M. Chen,HT-4,Pass,Sample slipped in grips - discard?
